,IP_8080
0,"{'amp_fac': 1.0, 'request_code': 11}"
1,"{'amp_fac': 1.0, 'request_code': 12}"
2,"{'amp_fac': 1.0, 'request_code': 14}"
3,"{'amp_fac': 50.666666666666664, 'request_code': 16}"
4,"{'amp_fac': 1.0, 'request_code': 22}"
5,"{'amp_fac': 2.0, 'request_code': 23}"
6,"{'amp_fac': 1.0, 'request_code': 25}"
7,"{'amp_fac': 1.0, 'request_code': 29}"
8,"{'amp_fac': 1.0, 'request_code': 43}"
9,"{'amp_fac': 1.0, 'request_code': 44}"
10,"{'amp_fac': 1.0, 'request_code': 45}"
