,risk,request_code
0,1.0,11.0
1,1.0,12.0
2,1.0,14.0
3,50.666666666666664,16.0
4,1.0,22.0
5,2.0,23.0
6,1.0,25.0
7,1.0,29.0
8,1.0,43.0
9,1.0,44.0
10,1.0,45.0
