,risk,request_code
0,48.888888888888886,1.0
1,2.5555555555555554,4.0
2,27.11111111111111,7.0
3,2.0,13.0
4,53.77777777777778,16.0
5,2.0,22.0
6,2.0,29.0
7,1.0,30.0
8,2.0,31.0
9,1.0,36.0
10,1.0,37.0
11,1.0,44.0
