,IP_8080
0,"{'amp_fac': 44.0, 'request_code': 1}"
1,"{'amp_fac': 1.0, 'request_code': 3}"
2,"{'amp_fac': 3.2222222222222223, 'request_code': 4}"
3,"{'amp_fac': 71.33333333333333, 'request_code': 16}"
4,"{'amp_fac': 1.0, 'request_code': 27}"
5,"{'amp_fac': 1.0, 'request_code': 30}"
6,"{'amp_fac': 2.6666666666666665, 'request_code': 34}"
7,"{'amp_fac': 1.0, 'request_code': 35}"
8,"{'amp_fac': 1.0, 'request_code': 45}"
