name,KL,size
response,0.0,1
more,0.0,1
mode,0.0,1
version,0.14736749027353746,3
auth,0.0132125978255892,2
seq,0.0,1
implementation,0.6342562488252222,2
request_code,3.080159964476618,46
err,0.0,1
mbz,0.0,1
data_item_size,0.0,1
data,0.0,1
