,IP_8080
0,"{'amp_fac': 9.88888888888889, 'request_code': 0}"
1,"{'amp_fac': 44.0, 'request_code': 1}"
2,"{'amp_fac': 1.0, 'request_code': 2}"
3,"{'amp_fac': 10.22222222222222, 'request_code': 7}"
4,"{'amp_fac': 1.4444444444444444, 'request_code': 9}"
5,"{'amp_fac': 1.0, 'request_code': 19}"
6,"{'amp_fac': 1.0, 'request_code': 24}"
7,"{'amp_fac': 1.0, 'request_code': 26}"
8,"{'amp_fac': 1.0, 'request_code': 33}"
9,"{'amp_fac': 2.6666666666666665, 'request_code': 34}"
10,"{'amp_fac': 2.6666666666666665, 'request_code': 38}"
11,"{'amp_fac': 1.0, 'request_code': 39}"
12,"{'amp_fac': 1.0, 'request_code': 43}"
