,IP_8080
0,"{'amp_fac': 5.111111111111111, 'request_code': 7}"
1,"{'amp_fac': 2.0, 'request_code': 11}"
2,"{'amp_fac': 1.0, 'request_code': 15}"
3,"{'amp_fac': 88.33333333333333, 'request_code': 16}"
4,"{'amp_fac': 1.0, 'request_code': 19}"
5,"{'amp_fac': 1.0, 'request_code': 27}"
6,"{'amp_fac': 2.6666666666666665, 'request_code': 34}"
7,"{'amp_fac': 1.0, 'request_code': 35}"
8,"{'amp_fac': 1.0, 'request_code': 36}"
9,"{'amp_fac': 1.0, 'request_code': 40}"
10,"{'amp_fac': 2.0, 'request_code': 41}"
