data_item_size,err,implementation,mbz,mode,more,nb_items,request_code,response,seq,version,data,amp_fac,min_amp,max_amp,count_amp
0.0,0.0,3.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,4.0,dummy,22.0,0.0,44.0,3595
0.0,0.0,3.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,3.0,dummy,22.0,13.0,44.0,15859
0.0,0.0,3.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,2.0,dummy,22.0,13.0,44.0,3659
0.0,0.0,3.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,4.0,dummy,9.88888888888889,9.88888888888889,9.88888888888889,72
0.0,0.0,3.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,2.0,dummy,9.88888888888889,9.88888888888889,9.88888888888889,440
0.0,0.0,2.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,2.0,dummy,9.88888888888889,9.88888888888889,9.88888888888889,819
0.0,0.0,2.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,3.0,dummy,9.88888888888889,9.88888888888889,19.77777777777778,1489
0.0,0.0,2.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,4.0,dummy,9.88888888888889,9.88888888888889,9.88888888888889,549
0.0,0.0,3.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,3.0,dummy,9.88888888888889,9.88888888888889,9.88888888888889,247
0.0,0.0,3.0,0.0,7.0,0.0,0.0,7.0,0.0,0.0,4.0,dummy,5.111111111111111,5.111111111111111,10.22222222222222,3594
0.0,0.0,3.0,0.0,7.0,0.0,0.0,7.0,0.0,0.0,3.0,dummy,5.111111111111111,5.111111111111111,10.22222222222222,12987
0.0,0.0,3.0,0.0,7.0,0.0,0.0,7.0,0.0,0.0,2.0,dummy,5.111111111111111,5.111111111111111,10.22222222222222,1093
0.0,0.0,2.0,0.0,7.0,0.0,0.0,7.0,0.0,0.0,2.0,dummy,5.111111111111111,5.111111111111111,5.111111111111111,844
0.0,0.0,2.0,0.0,7.0,0.0,0.0,7.0,0.0,0.0,3.0,dummy,5.111111111111111,5.111111111111111,5.111111111111111,2925
0.0,0.0,2.0,0.0,7.0,0.0,0.0,7.0,0.0,0.0,4.0,dummy,5.111111111111111,5.111111111111111,5.111111111111111,544
0.0,0.0,2.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,4.0,dummy,3.2222222222222223,3.2222222222222223,3.2222222222222223,16
0.0,0.0,2.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,3.0,dummy,3.2222222222222223,3.2222222222222223,3.2222222222222223,3
