,risk,request_code
0,62.0,1.0
1,1.0,3.0
2,1.0,11.0
3,2.0,12.0
4,1.0,15.0
5,65.11111111111111,16.0
6,1.0,17.0
7,1.0,23.0
8,1.0,24.0
9,1.0,36.0
10,1.0,40.0
11,2.0,43.0
