data_item_size,err,implementation,mbz,mode,more,nb_items,request_code,response,seq,version,data,amp_fac,min_amp,max_amp,count_amp
0.0,0.0,3.0,0.0,7.0,0.0,0.0,16.0,0.0,0.0,2.0,dummy,29.444444444444443,13.444444444444445,58.888888888888886,9745
0.0,0.0,3.0,0.0,7.0,0.0,-1.0,16.0,0.0,0.0,2.0,dummy,29.444444444444443,29.444444444444443,29.444444444444443,899
0.0,0.0,3.0,0.0,7.0,0.0,-1.0,16.0,0.0,0.0,3.0,dummy,29.444444444444443,29.444444444444443,29.444444444444443,369
0.0,0.0,3.0,0.0,7.0,0.0,-1.0,16.0,0.0,0.0,4.0,dummy,29.444444444444443,13.444444444444445,29.444444444444443,637
0.0,0.0,3.0,0.0,7.0,0.0,0.0,16.0,0.0,0.0,4.0,dummy,29.444444444444443,0.0,58.888888888888886,10394
0.0,0.0,3.0,0.0,7.0,0.0,0.0,16.0,0.0,0.0,3.0,dummy,29.444444444444443,13.444444444444445,58.888888888888886,9137
0.0,0.0,3.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,4.0,dummy,24.0,0.0,48.0,5583
0.0,0.0,3.0,0.0,7.0,0.0,-1.0,1.0,0.0,0.0,3.0,dummy,24.0,24.0,24.0,301
0.0,0.0,3.0,0.0,7.0,0.0,-1.0,1.0,0.0,0.0,4.0,dummy,24.0,24.0,24.0,453
0.0,0.0,3.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,2.0,dummy,24.0,0.0,53.44444444444444,6246
0.0,0.0,3.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,3.0,dummy,24.0,13.0,48.0,5829
0.0,0.0,3.0,0.0,7.0,0.0,-1.0,1.0,0.0,0.0,2.0,dummy,24.0,24.0,24.0,398
0.0,0.0,2.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,2.0,dummy,10.77777777777778,10.77777777777778,10.77777777777778,1
0.0,0.0,3.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,2.0,dummy,10.77777777777778,10.77777777777778,10.77777777777778,2
0.0,0.0,3.0,0.0,7.0,0.0,0.0,7.0,0.0,0.0,4.0,dummy,5.111111111111111,5.111111111111111,5.111111111111111,1
0.0,0.0,3.0,0.0,7.0,0.0,0.0,10.0,0.0,0.0,2.0,dummy,1.0,1.0,1.0,1
0.0,0.0,3.0,0.0,7.0,0.0,0.0,23.0,0.0,0.0,2.0,dummy,1.0,1.0,1.0,1
0.0,0.0,3.0,0.0,7.0,0.0,0.0,23.0,0.0,0.0,4.0,dummy,1.0,1.0,1.0,1
0.0,0.0,3.0,0.0,7.0,0.0,0.0,31.0,0.0,0.0,3.0,dummy,1.0,1.0,1.0,1
0.0,0.0,3.0,0.0,7.0,0.0,0.0,35.0,0.0,0.0,2.0,dummy,1.0,1.0,1.0,1
