,IP_8080
0,"{'amp_fac': 1.0, 'request_code': 11}"
1,"{'amp_fac': 1.0, 'request_code': 13}"
2,"{'amp_fac': 71.33333333333333, 'request_code': 16}"
3,"{'amp_fac': 1.0, 'request_code': 30}"
4,"{'amp_fac': 1.0, 'request_code': 44}"
5,"{'amp_fac': 1.0, 'request_code': 45}"
