data_item_size,err,implementation,mbz,mode,more,nb_items,request_code,response,seq,data,amp_fac,min_amp,max_amp,count_amp
0.0,0.0,3.0,0.0,7.0,0.0,0.0,16.0,0.0,0.0,dummy,35.666666666666664,0.0,71.33333333333333,29859
0.0,0.0,3.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,dummy,22.0,13.0,44.0,20112
0.0,0.0,2.0,0.0,7.0,0.0,0.0,16.0,0.0,0.0,dummy,8.11111111111111,8.11111111111111,8.11111111111111,1
0.0,0.0,3.0,0.0,7.0,0.0,0.0,4.0,0.0,0.0,dummy,3.2222222222222223,3.2222222222222223,3.2222222222222223,1
0.0,0.0,3.0,0.0,7.0,0.0,0.0,34.0,0.0,0.0,dummy,2.6666666666666665,2.6666666666666665,2.6666666666666665,1
0.0,0.0,3.0,0.0,7.0,0.0,0.0,3.0,0.0,0.0,dummy,1.0,1.0,1.0,1
0.0,0.0,3.0,0.0,7.0,0.0,0.0,27.0,0.0,0.0,dummy,1.0,1.0,1.0,1
0.0,0.0,3.0,0.0,7.0,0.0,0.0,30.0,0.0,0.0,dummy,1.0,1.0,1.0,1
0.0,0.0,3.0,0.0,7.0,0.0,0.0,35.0,0.0,0.0,dummy,1.0,1.0,1.0,3
0.0,0.0,3.0,0.0,7.0,0.0,0.0,42.0,0.0,0.0,dummy,1.0,1.0,1.0,16
0.0,0.0,3.0,0.0,7.0,0.0,0.0,45.0,0.0,0.0,dummy,1.0,1.0,1.0,4
