,IP_8080
0,"{'amp_fac': 10.77777777777778, 'request_code': 0}"
1,"{'amp_fac': 53.44444444444444, 'request_code': 1}"
2,"{'amp_fac': 5.111111111111111, 'request_code': 7}"
3,"{'amp_fac': 1.0, 'request_code': 10}"
4,"{'amp_fac': 58.888888888888886, 'request_code': 16}"
5,"{'amp_fac': 1.0, 'request_code': 23}"
6,"{'amp_fac': 1.0, 'request_code': 31}"
7,"{'amp_fac': 1.0, 'request_code': 35}"
