auth,data_item_size,err,implementation,mbz,mode,more,nb_items,request_code,response,seq,version,data,amp_fac,min_amp,max_amp,count_amp
1.0,0.0,0.0,3.0,0.0,7.0,0.0,0.0,16.0,0.0,0.0,3.0,dummy,29.444444444444443,29.444444444444443,58.888888888888886,274
0.0,0.0,0.0,3.0,0.0,7.0,0.0,0.0,16.0,0.0,0.0,2.0,dummy,29.444444444444443,13.444444444444445,58.888888888888886,514
0.0,0.0,0.0,3.0,0.0,7.0,0.0,0.0,16.0,0.0,0.0,3.0,dummy,29.444444444444443,0.0,88.33333333333333,95648
0.0,0.0,0.0,3.0,0.0,7.0,0.0,0.0,16.0,0.0,0.0,4.0,dummy,29.444444444444443,29.444444444444443,29.444444444444443,2
1.0,0.0,0.0,3.0,0.0,7.0,0.0,0.0,16.0,0.0,0.0,2.0,dummy,29.444444444444443,29.444444444444443,29.444444444444443,14
0.0,0.0,0.0,2.0,0.0,7.0,0.0,0.0,16.0,0.0,0.0,3.0,dummy,6.777777777777778,6.777777777777778,13.555555555555555,3366
0.0,0.0,0.0,2.0,0.0,7.0,0.0,0.0,16.0,0.0,0.0,2.0,dummy,6.777777777777778,6.777777777777778,6.777777777777778,10
1.0,0.0,0.0,2.0,0.0,7.0,0.0,0.0,16.0,0.0,0.0,3.0,dummy,6.777777777777778,6.777777777777778,13.555555555555555,6
0.0,0.0,0.0,3.0,0.0,7.0,0.0,0.0,7.0,0.0,0.0,3.0,dummy,5.111111111111111,5.111111111111111,5.111111111111111,12
0.0,0.0,0.0,3.0,0.0,7.0,0.0,0.0,34.0,0.0,0.0,3.0,dummy,2.6666666666666665,2.6666666666666665,2.6666666666666665,18
1.0,0.0,0.0,3.0,0.0,7.0,0.0,0.0,34.0,0.0,0.0,3.0,dummy,2.6666666666666665,2.6666666666666665,2.6666666666666665,2
0.0,0.0,0.0,3.0,0.0,7.0,0.0,0.0,34.0,0.0,0.0,2.0,dummy,2.6666666666666665,2.6666666666666665,2.6666666666666665,2
0.0,0.0,0.0,3.0,0.0,7.0,0.0,0.0,41.0,0.0,0.0,2.0,dummy,1.0,1.0,1.0,14
1.0,0.0,0.0,3.0,0.0,7.0,0.0,0.0,40.0,0.0,0.0,3.0,dummy,1.0,1.0,1.0,2
1.0,0.0,0.0,3.0,0.0,7.0,0.0,0.0,11.0,0.0,0.0,3.0,dummy,1.0,1.0,1.0,6
0.0,0.0,0.0,3.0,0.0,7.0,0.0,0.0,41.0,0.0,0.0,3.0,dummy,1.0,1.0,2.0,60
0.0,0.0,0.0,2.0,0.0,7.0,0.0,0.0,11.0,0.0,0.0,3.0,dummy,1.0,1.0,1.0,4
0.0,0.0,0.0,3.0,0.0,7.0,0.0,0.0,40.0,0.0,0.0,3.0,dummy,1.0,1.0,1.0,4
0.0,0.0,0.0,3.0,0.0,7.0,0.0,0.0,36.0,0.0,0.0,3.0,dummy,1.0,1.0,1.0,2
0.0,0.0,0.0,3.0,0.0,7.0,0.0,0.0,35.0,0.0,0.0,3.0,dummy,1.0,1.0,1.0,2
0.0,0.0,0.0,3.0,0.0,7.0,0.0,0.0,27.0,0.0,0.0,3.0,dummy,1.0,1.0,1.0,4
0.0,0.0,0.0,3.0,0.0,7.0,0.0,0.0,19.0,0.0,0.0,3.0,dummy,1.0,1.0,1.0,6
0.0,0.0,0.0,3.0,0.0,7.0,0.0,0.0,15.0,0.0,0.0,3.0,dummy,1.0,1.0,1.0,2
0.0,0.0,0.0,3.0,0.0,7.0,0.0,0.0,11.0,0.0,0.0,3.0,dummy,1.0,1.0,2.0,22
0.0,0.0,0.0,2.0,0.0,7.0,0.0,0.0,36.0,0.0,0.0,3.0,dummy,1.0,1.0,1.0,2
1.0,0.0,0.0,3.0,0.0,7.0,0.0,0.0,41.0,0.0,0.0,3.0,dummy,1.0,1.0,1.0,2
