data_item_size,err,implementation,mbz,mode,more,nb_items,request_code,response,seq,data,amp_fac,min_amp,max_amp,count_amp
0.0,0.0,3.0,0.0,7.0,0.0,0.0,16.0,0.0,0.0,dummy,32.55555555555556,0.0,65.11111111111111,23610
0.0,0.0,3.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,dummy,31.0,13.0,62.0,26302
0.0,0.0,2.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,dummy,13.444444444444445,13.444444444444445,13.444444444444445,2
0.0,0.0,2.0,0.0,7.0,0.0,0.0,16.0,0.0,0.0,dummy,7.666666666666667,7.666666666666667,15.333333333333334,25
0.0,0.0,3.0,0.0,7.0,0.0,0.0,43.0,0.0,0.0,dummy,1.5,1.0,2.0,2
0.0,0.0,3.0,0.0,7.0,0.0,0.0,3.0,0.0,0.0,dummy,1.0,1.0,1.0,14
0.0,0.0,3.0,0.0,7.0,0.0,0.0,11.0,0.0,0.0,dummy,1.0,1.0,1.0,2
0.0,0.0,3.0,0.0,7.0,0.0,0.0,12.0,0.0,0.0,dummy,1.0,1.0,2.0,16
0.0,0.0,3.0,0.0,7.0,0.0,0.0,15.0,0.0,0.0,dummy,1.0,1.0,1.0,12
0.0,0.0,3.0,0.0,7.0,0.0,0.0,17.0,0.0,0.0,dummy,1.0,1.0,1.0,3
0.0,0.0,3.0,0.0,7.0,0.0,0.0,23.0,0.0,0.0,dummy,1.0,1.0,1.0,1
0.0,0.0,3.0,0.0,7.0,0.0,0.0,24.0,0.0,0.0,dummy,1.0,1.0,1.0,1
0.0,0.0,3.0,0.0,7.0,0.0,0.0,36.0,0.0,0.0,dummy,1.0,1.0,1.0,9
0.0,0.0,3.0,0.0,7.0,0.0,0.0,40.0,0.0,0.0,dummy,1.0,1.0,1.0,1
